feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Gardnerella_piotii	HORMONAL_MENOPAUSE	YE	0.619696327143237	0.171882579727976	10001	9242	0.000313256182578455	0.0023102643465161
Lactobacillus_iners	Cohort	BV only	0.228997422124084	0.0639786261569984	10001	9992	0.000346176897770222	0.00253544734780673
Gardnerella_vaginalis	AGE	AGE	0.109196481516145	0.0306710621031532	10001	9991	0.000372232891927167	0.00270761185771679
Prevotella_sp	AGE	AGE	0.058292659675079	0.0167510993836591	10001	1542	0.000503686131582887	0.00363887531796617
Porphyromonas_uenonis	BMI	BMI	0.0695179908465541	0.0200129601741225	10001	5023	0.000515611071264294	0.00369985782218027
Lactobacillus_mulieris	BMI	BMI	-0.0775895092532636	0.022389425723454	10001	6140	0.000531564299413763	0.00378873346293568
Lactobacillus_crispatus	HORMONAL_MENOPAUSE	NO	-0.687616060215233	0.199333277918619	10001	9982	0.000563780480133197	0.00399156579934304
Streptococcus_constellatus	Cohort	UTI only	0.118279350701175	0.0345794616522563	10001	1075	0.000627544734811501	0.00441359277066102
Anaerococcus_tetradius	Cohort	BV only	0.0840591284805181	0.0247430032673962	10001	1373	0.000683228559337865	0.00477361006590008
Prevotella_buccalis	BMI	BMI	0.0673352374726746	0.0198669228235667	10001	4919	0.000703389859618454	0.00488235314323397
Lactobacillus_amylovorus	HORMONAL_MENOPAUSE	YE	-0.46899000595102	0.139003398010825	10001	4517	0.00074380840770382	0.00512938005832115
Limosilactobacillus_vaginalis	BMI	BMI	-0.0407503409198212	0.012130717774194	10001	3008	0.000784416975659479	0.00537452147193785
Lactobacillus_gasseri	AGE	AGE	0.122765877229497	0.0367583245693921	10001	7727	0.00084142516068802	0.0057281635939146
Peptostreptococcus_anaerobius	AGE	AGE	0.0493194318180376	0.014793905721522	10001	1064	0.000859903682649299	0.00579026820914522
Streptococcus_agalactiae	Cohort	UTI only	0.178577586793524	0.0535743631751829	10001	1572	0.000861452332434034	0.00579026820914522
Escherichia_coli	RACE	BLACK	-0.327149786363822	0.099929061108148	10001	2622	0.0010646522211335	0.00711107332606149
Bifidobacterium_breve	Cohort	BV&UTI	0.20795898819821	0.0636875628483037	10001	1687	0.00109716880606358	0.00728245795024705
Streptococcus_agalactiae	RACE	BLACK	-0.364016676719025	0.111744127216127	10001	1572	0.00112737658905819	0.00743648408434654
Lactobacillus_kefiranofaciens	RACE	WHITE	0.142180528276402	0.0438330269973932	10001	1565	0.0011838230869632	0.00776061801453653
Lactobacillus_amylovorus	HORMONAL_MENOPAUSE	NO	-0.392694739461492	0.121754227402567	10001	4517	0.00126243044721901	0.00822516033709566
Lactobacillus_amylovorus	RACE	WHITE	0.353269959221168	0.11123673588503	10001	4517	0.00149858413519593	0.00970424604620779
Porphyromonas_uenonis	Cohort	UTI only	0.213091268436803	0.0675671227803524	10001	5023	0.00161653137646569	0.0104045837685246
Escherichia_coli	RACE	MULT-RACIAL	-0.342966616773873	0.109249151001396	10001	2622	0.00169841706752599	0.0107932213153785
Lactobacillus_helveticus	RACE	WHITE	0.16509127953587	0.0525570013794328	10001	2679	0.00168757204521497	0.0107932213153785
Peptostreptococcus_anaerobius	Cohort	BV only	0.0765701145662552	0.0244028026690116	10001	1064	0.00170740224198078	0.0107932213153785
Porphyromonas_uenonis	RACE	WHITE	-0.38427540568735	0.123071389024853	10001	5023	0.00179909138627593	0.0113055328534026
Corynebacterium_pseudogenitalium	RACE	PR	0.250356739213049	0.0804448249492902	10001	1016	0.00186251625058591	0.0116352485771896
Lactobacillus_jensenii	AGE	AGE	-0.10862788548121	0.0349577178177219	10001	7995	0.00189265828992819	0.0117544041163961
Limosilactobacillus_portuensis	Cohort	BV&UTI	-0.132959025619217	0.0429725229415795	10001	1764	0.00197991641709192	0.0122248327613466
Gardnerella_vaginalis	HORMONAL_MENOPAUSE	YE	0.520141098764945	0.169186471369578	10001	9991	0.00211520196321227	0.0129846502019158
Lactobacillus_crispatus	HORMONAL_MENOPAUSE	PT	-0.663559206129198	0.21777490973337	10001	9982	0.00231745020295553	0.014063612088793
Peptoniphilus_vaginalis	RACE	BLACK	0.207685405387674	0.0681274867553837	10001	1294	0.00230602895167927	0.014063612088793
Lactobacillus_jensenii	Cohort	UTI only	0.255384877423932	0.084719041336153	10001	7995	0.0025805668746468	0.0155713751186074
Porphyromonas_uenonis	RACE	MULT-RACIAL	-0.462539315841079	0.154074007837295	10001	5023	0.00268823538059344	0.0161294122835606
Bifidobacterium_breve	BMI	BMI	0.0541937828347629	0.0181154240469978	10001	1687	0.00278213811534156	0.0165990487555772
Anaerococcus_vaginalis	Cohort	BV only	-0.0829920690927224	0.0278564404066094	10001	1221	0.00289624318992995	0.0171832975849475
Anaerococcus_vaginalis	HORMONAL_MENOPAUSE	YE	0.275445697366328	0.0931548725382072	10001	1221	0.00311519301348395	0.0183796387795553
Limosilactobacillus_coleohominis	AGE	AGE	-0.0402613109181755	0.0136440311492871	10001	1026	0.00317650773460604	0.0186378520118874
Pichia_kudriavzevii	Cohort	BV&UTI	0.0759061841027608	0.0257886775433288	10001	1160	0.0032538481781941	0.0189867404683634
Streptococcus_constellatus	RACE	BLACK	-0.211733621239449	0.0721250152670942	10001	1075	0.00333611541960587	0.019360407517057
Aspergillus_flavus	HORMONAL_MENOPAUSE	PT	-0.184509741126696	0.0631261747724985	10001	1569	0.00347597466935648	0.0200624190155249
Gardnerella_spG	RACE	BLACK	0.304306581911679	0.104254366239296	10001	3714	0.00352069718509963	0.0202107049220314
Gardnerella_piotii	Cohort	UTI only	0.218979152352567	0.0755149616692279	10001	9242	0.00374201648187894	0.0213657070094378
Gardnerella_spD	RACE	PR	0.209902148722274	0.0725854930870969	10001	1089	0.0038387865060072	0.0218010228309072
Pichia_kudriavzevii	RACE	MULT-RACIAL	-0.162139363614133	0.0564730176591274	10001	1160	0.00409914008194223	0.0231557806756524
Corynebacterium_pseudogenitalium	RACE	OTHER-COMBINE	0.234329869047447	0.0818197395187676	10001	1016	0.00419230440287714	0.0235567580733097
Porphyromonas_uenonis	RACE	HISPANIC	-0.394806398940118	0.138192016427135	10001	5023	0.00428629701481346	0.023894873509077
Tissierellia_bacterium	Cohort	BV&UTI	0.107925698466834	0.0377876139506073	10001	1571	0.00429747725069087	0.023894873509077
Limosilactobacillus_coleohominis	Cohort	BV&UTI	0.098173928270662	0.0344320351862285	10001	1026	0.00436387054137166	0.024137658931962
Aspergillus_flavus	RACE	MULT-RACIAL	-0.187582586422441	0.0660872840622885	10001	1569	0.0045430896119526	0.0249320572887535
Lactobacillus_kefiranofaciens	AGE	AGE	-0.0281769786288631	0.00992983029040352	10001	1565	0.0045544436101866	0.0249320572887535
Prevotella_bivia	RACE	WHITE	-0.40674569015004	0.143782283706553	10001	6985	0.00468014458538231	0.025488787434236
Gardnerella_spD	AGE	AGE	0.0346776801696743	0.0123377880122501	10001	1089	0.00495319116487466	0.0268382092709025
Aerococcus_christensenii	HORMONAL_MENOPAUSE	YE	0.380707805168529	0.135722841362447	10001	3629	0.00504078596135642	0.0271741862485306
Lactobacillus_mulieris	Cohort	BV only	-0.143946639270618	0.0514500676172725	10001	6140	0.00515516609828251	0.0276504363453335
Coriobacteriales_bacterium	RACE	BLACK	0.432007070855173	0.154838494730093	10001	5783	0.0052799947135438	0.0281776602300679
Bifidobacterium_breve	HORMONAL_MENOPAUSE	YE	0.385220711137477	0.139210327768642	10001	1687	0.00566468070478557	0.0300794545424114
Lactobacillus_amylovorus	HORMONAL_MENOPAUSE	PT	-0.36524120559629	0.133018511304848	10001	4517	0.00604730644444736	0.0319514400199159
Lactobacillus_helveticus	HORMONAL_MENOPAUSE	YE	-0.180086957097228	0.0656761610530497	10001	2679	0.00611668716657694	0.0321580285688352
Finegoldia_magna	HORMONAL_MENOPAUSE	YE	0.384256743436787	0.140480779662822	10001	3880	0.00624339771042954	0.0324969705574323
Limosilactobacillus_vaginalis	Cohort	UTI only	0.111937450191818	0.0409553454427293	10001	3008	0.0062840626204855	0.0324969705574323
Prevotella_bivia	Cohort	UTI only	0.215668269559113	0.0789375604989583	10001	6985	0.00630355549419119	0.0324969705574323
Sneathia_sanguinegens	AGE	AGE	0.0491974040692189	0.0179768941104858	10001	1822	0.00621682754170826	0.0324969705574323
Lactobacillus_gasseri	Cohort	BV only	-0.165187220385881	0.0606334904247364	10001	7727	0.00645391649379284	0.0331113976638068
Candidatus_Lachnocurva_vaginae_.BVAB.1.	Cohort	BV only	0.105740221425613	0.0388912056751297	10001	2801	0.0065618116999585	0.0335030962757497
